cell,type,class,sx,sy,px,py
FE_DBTC121_ld,INVx2_ASAP7_75t_SL,core,216,270,39618,23418
FE_DBTC120_sa22_1,INVx2_ASAP7_75t_SL,core,216,270,33570,26118
FE_DBTC119_sa03_7,INVx2_ASAP7_75t_SL,core,216,270,6084,30438
FE_DBTC118_sa32_7,INVxp67_ASAP7_75t_SL,core,162,270,4194,13968
FE_DBTC117_sa32_1,INVx2_ASAP7_75t_SL,core,216,270,3384,14238
FE_DBTC116_sa31_7,INVx1_ASAP7_75t_SL,core,162,270,27306,11268
FE_DBTC115_sa02_6,INVxp67_ASAP7_75t_R,core,162,270,33624,18018
FE_DBTC114_sa13_3,INVx2_ASAP7_75t_SL,core,216,270,24498,10728
FE_DBTC113_sa11_7,INVxp67_ASAP7_75t_SL,core,162,270,31518,22878
FE_DBTC112_sa00_6,INVx1_ASAP7_75t_L,core,162,270,23202,8028
FE_DBTC111_sa33_2,INVx1_ASAP7_75t_SL,core,162,270,10674,14508
FE_DBTC110_sa12_6,INVx1_ASAP7_75t_SL,core,162,270,33246,24768
FE_DBTC109_sa12_3,INVx2_ASAP7_75t_SL,core,216,270,33570,28818
FE_DBTC108_sa21_4,INVx1_ASAP7_75t_SL,core,162,270,25146,36378
FE_DBTC107_sa23_6,INVxp67_ASAP7_75t_L,core,162,270,16560,32868
FE_DBTC106_sa23_2,INVxp33_ASAP7_75t_R,core,162,270,20016,33138
FE_DBTC105_w3_31,INVx4_ASAP7_75t_SL,core,324,270,8838,24768
FE_DBTC104_w3_28,INVx2_ASAP7_75t_SL,core,216,270,18612,24768
FE_DBTC103_w3_25,INVx2_ASAP7_75t_SL,core,216,270,8838,25038
FE_DBTC102_w3_20,INVx2_ASAP7_75t_L,core,216,270,16074,25308
FE_DBTC101_w3_19,INVx1_ASAP7_75t_SL,core,162,270,23634,19368
FE_DBTC100_w3_7,INVx1_ASAP7_75t_SL,core,162,270,10674,23418
FE_DBTC99_w3_4,INVx2_ASAP7_75t_SL,core,216,270,8838,26658
FE_DBTC98_w3_1,INVxp67_ASAP7_75t_R,core,162,270,9108,22068
FE_DBTC97_w3_0,INVx1_ASAP7_75t_SL,core,162,270,12240,22338
FE_DBTC96_sa01_6,INVx2_ASAP7_75t_SL,core,216,270,31410,34218
FE_DBTC95_sa01_1,INVx2_ASAP7_75t_SL,core,216,270,26226,33678
FE_DBTC94_u0_w_3_22,INVx2_ASAP7_75t_L,core,216,270,17532,24498
FE_DBTC93_u0_w_3_16,INVx2_ASAP7_75t_R,core,216,270,12942,23418
FE_DBTC92_ld_r,INVx2_ASAP7_75t_SL,core,216,270,11754,14778
FE_DBTC91_n_8263,INVx1_ASAP7_75t_L,core,162,270,28062,16128
FE_DBTC90_n_8340,INVxp33_ASAP7_75t_R,core,162,270,22230,28008
FE_DBTC89_n_8289,INVx1_ASAP7_75t_SL,core,162,270,25200,17748
FE_DBTC88_n_8219,INVx1_ASAP7_75t_SL,core,162,270,22284,15048
